,UBICACION,PROVINCIA,CIUDAD,PRECIO,PRECIO1,CP,SUPERFICIE,DORMITORIOS,SUBTIPOLOGIA,AÑO CONST,CATEGORIA
102,Mijas - Las Lagunas De Mijas,Málaga,Mijas,112.000,,29651,75,2,2 dormitorios,2005,Señorial
103,Torrox,Málaga,Torrox,119.900,,29091,111,3,3 dormitorios,2000,Popular
104,Fuengirola - Centro,Málaga,Fuengirola,159.000,,29640,73,2,Dúplex,1977,Popular
105,Málaga - Carretera De Cádiz ; La Paz - P. Mediterraneo - Puerta Blanca,Málaga,Málaga,425.000,,29004,131,3,3 dormitorios,2000,Señorial
106,Mijas - Las Lagunas De Mijas,Málaga,Mijas,67.000,,29651,42,1,1 dormitorio,1991,Señorial
107,Fuengirola - Centro,Málaga,Fuengirola,68.000,,29640,56,2,2 dormitorios,1965,Popular
108,Mijas - Las Lagunas De Mijas,Málaga,Mijas,120.000,,29651,102,3,3 dormitorios,1998,Popular
109,Benalmadena Costa,Málaga,Benalmadena Costa,259.500,,29630,170,2,3 dormitorios,2004,Señorial
110,Fuengirola - Centro,Málaga,Fuengirola,81.000,,29054,69,3,3 dormitorios,1965,Popular
111,Torrox,Málaga,Torrox,146.000,,29091,90,2,2 dormitorios,2002,Popular
112,Málaga - Ortega Y Gasset; Santa Cristina - San Rafael,Málaga,Málaga,29006,,Dirección  Calle De Alozaina; 17,Tipología  Piso,75,Dormitorios  3,3,1978
113,Málaga - Carretera De Cádiz ; La Paz - P. Mediterraneo - Puerta Blanca,Málaga,Málaga,270.000,,29003,146,4,3 dormitorios,1978,Señorial
