,UBICACION,PROVINCIA,CIUDAD,PRECIO,PRECIO1,CP,SUPERFICIE,DORMITORIOS,SUBTIPOLOGIA,AÑO CONST,CATEGORIA
164,Estepona,Málaga,Estepona,130.000,130.000,29680,85,3,3 dormitorios,1980,Popular
165,Torre Del Mar,Málaga,Torre Del Mar,169.900,169.900,29740,89,2,2 dormitorios,2000,Popular
166,Málaga - Carretera De Cádiz ; La Paz - P. Mediterraneo - Puerta Blanca,Málaga,Málaga,123.000,123.000,29004,70,2,2 dormitorios,1969,Popular
167,Málaga - Teatinos - Portada Alta - Carlos Haya; Portada Alta,Málaga,Málaga,65.000,65.000,29007,60,2,2 dormitorios,1968,Popular
168,San Luis De Sabinillas,Málaga,San Luis De Sabinillas,139.990,139.990,29692,107,2,2 dormitorios,2006,Media
169,Estepona,Málaga,Estepona,139.990,139.990,29680,101,2,2 dormitorios,2009,Nuda propiedad  SI
170,Estepona,Málaga,Estepona,99.990,99.990,29680,87,2,2 dormitorios,2005,Popular
171,Málaga - Cruz De Humilladero ; Carraque,Málaga,Málaga,229.000,229.000,29007,157,5,5 dormitorios,1960,Popular
172,Málaga - Carretera De Cádiz ; La Princesa - Huelin,Málaga,Málaga,290.000,290.000,29002,140,4,4 dormitorios,1974,Popular
173,Málaga - El Palo,Málaga,Málaga,252.000,252.000,29017,108,4,4 dormitorios,1976,Popular
174,Málaga - Carretera De Cádiz ; La Paz - P. Mediterraneo - Puerta Blanca,Málaga,Málaga,145.000,145.000,29004,82,3,3 dormitorios,1968,Popular
175,Estepona,Málaga,Estepona,130.000,130.000,29680,110,3,3 dormitorios,1980,Popular
176,Estepona,Málaga,Estepona,130.000,130.000,29680,85,3,3 dormitorios,1980,Popular
177,Estepona,Málaga,Estepona,103.990,103.990,29680,80,3,3 dormitorios,1980,Popular
178,Estepona,Málaga,Estepona,235.900,235.900,29680,160,2,2 dormitorios,2015,Popular
179,Málaga - Teatinos - Portada Alta - Carlos Haya; Portada Alta,Málaga,Málaga,69.000,69.000,29007,60,2,2 dormitorios,1968,Popular
180,Málaga - Trinidad - Miraflores - Carlinda; Carlinda - Granja,Málaga,Málaga,108.000,108.000,29010,72,3,3 dormitorios,1976,Media
181,Málaga - Trinidad - Miraflores - Carlinda; Miraflores,Málaga,Málaga,98.000,98.000,29011,75,3,3 dormitorios,1971,Señorial
182,Estepona,Málaga,Estepona,89.990,89.990,29680,75,2,2 dormitorios,1980,Popular
183,Fuengirola - Centro,Málaga,Fuengirola,90.000,90.000,29640,56,2,2 dormitorios,1972,Popular
184,Málaga - Trinidad - Miraflores - Carlinda; Miraflores,Málaga,Málaga,144.400,144.400,29011,81,3,3 dormitorios,1968,Popular
185,Málaga - Carretera De Cádiz ; La Princesa - Huelin,Málaga,Málaga,155.000,155.000,29002,77,3,3 dormitorios,1976,Popular
186,Málaga - Trinidad - Miraflores - Carlinda; Trinidad,Málaga,Málaga,240.000,240.000,29009,104,Precio parquing  20.000 €,Dormitorios  3,Dúplex,2009
187,Málaga - Teatinos - Portada Alta - Carlos Haya; Portada Alta,Málaga,Málaga,168.000,168.000,29007,107,3,3 dormitorios,1977,Popular
188,Málaga - Ciudad Jardín ; Ciudad Jardín,Málaga,Málaga,29014,87.000,Dirección  Calle Serrano Fernández; 8,Tipología  Piso,84,Dormitorios  3,3,1970
189,Estepona,Málaga,Estepona,102.000,102.000,29051,86,3,3 dormitorios,1990,Popular
190,Mijas - Las Lagunas De Mijas,Málaga,Mijas,109.000,109.000,29651,59,2,2 dormitorios,2008,Cuota comunidad anual  51 €
191,Torre Del Mar,Málaga,Torre Del Mar,185.000,185.000,29740,95,3,3 dormitorios,1981,Popular
192,Málaga - Ortega Y Gasset; Santa Cristina - San Rafael,Málaga,Málaga,29006,146.000,Dirección  Calle Sanhedun; 2,Tipología  Piso,79,Precio parquing  13.000 €,Dormitorios  3,Subtipología  3 dormitorios
193,Málaga - Ortega Y Gasset; Santa Cristina - San Rafael,Málaga,Málaga,29006,90.000,Dirección  Calle Periana; 9,Tipología  Piso,87,Dormitorios  2,2,1958
194,Torre Del Mar,Málaga,Torre Del Mar,115.000,115.000,29740,55,2,2 dormitorios,1966,Popular
195,Málaga - Ciudad Jardín ; Ciudad Jardín,Málaga,Málaga,119.900,119.900,29014,77,3,3 dormitorios,1975,Popular
196,Estepona,Málaga,Estepona,130.000,130.000,29051,72,2,2 dormitorios,1985,Popular
197,Estepona,Málaga,Estepona,65.000,65.000,29680,40,2,2 dormitorios,1970,Media
198,Málaga - Ortega Y Gasset; Santa Cristina - San Rafael,Málaga,Málaga,29006,140.000,Dirección  Av. De José Ortega y Gasset; 70,Tipología  Piso,90,Dormitorios  3,3,1976
199,Algarrobo,Málaga,Algarrobo,145.000,145.000,29005,69,2,2 dormitorios,2008,Popular
200,Málaga - Ciudad Jardín ; Ciudad Jardín,Málaga,Málaga,67.260,67.260,29014,35,1,1 dormitorio,1967,Popular
201,Estepona,Málaga,Estepona,85.000,85.000,29680,60,2,2 dormitorios,1970,Popular
202,Torre Del Mar,Málaga,Torre Del Mar,129.000,129.000,29740,60,2,2 dormitorios,2005,Media
203,Estepona,Málaga,Estepona,129.990,129.990,29680,85,2,2 dormitorios,2000,Popular
204,Torre Del Mar,Málaga,Torre Del Mar,135.000,135.000,29740,59,1,1 dormitorio,1970,Popular
205,Torre Del Mar,Málaga,Torre Del Mar,185.000,185.000,29740,95,3,3 dormitorios,1981,Popular
206,Torre Del Mar,Málaga,Torre Del Mar,179.900,179.900,29740,92,3,3 dormitorios,1980,Popular
207,Torrox,Málaga,Torrox,79.000,79.000,29770,61,1,1 dormitorio,2006,Popular
208,Málaga - Ortega Y Gasset; Santa Cristina - San Rafael,Málaga,Málaga,29006,105.000,Dirección  Calle De Alozaina; 36,Tipología  Piso,74,Dormitorios  3,3,1976
209,San Luis De Sabinillas,Málaga,San Luis De Sabinillas,157.000,157.000,29692,96,3,3 dormitorios,1999,Señorial
210,Málaga - Centro ; Centro Histórico,Málaga,Málaga,85.000,85.000,29012,58,2,2 dormitorios,1960,Media
211,Torre Del Mar,Málaga,Torre Del Mar,89.000,89.000,29740,36,1,Estudio,1984,Popular
212,Málaga - Carretera De Cádiz ; La Paz - P. Mediterraneo - Puerta Blanca,Málaga,Málaga,199.000,199.000,29004,96,3,3 dormitorios,1979,Popular
213,Málaga - Carretera De Cádiz ; La Paz - P. Mediterraneo - Puerta Blanca,Málaga,Málaga,128.000,128.000,29004,70,3,3 dormitorios,1969,Popular
214,Málaga - Carretera De Cádiz ; La Princesa - Huelin,Málaga,Málaga,168.000,168.000,29002,77,3,3 dormitorios,1972,Popular
215,Málaga - Ortega Y Gasset; Santa Cristina - San Rafael,Málaga,Málaga,29006,116.000,Dirección  Calle De Alozaina; 25,Tipología  Piso,88,Dormitorios  3,3,1972
216,Málaga - Carretera De Cádiz ; La Princesa - Huelin,Málaga,Málaga,175.000,175.000,29002,73,2,2 dormitorios,1970,Media
217,Málaga - Ciudad Jardín ; Ciudad Jardín,Málaga,Málaga,49.900,49.900,29014,32,1,Estudio,1972,Popular
218,Mijas - Las Lagunas De Mijas,Málaga,Mijas,60.000,60.000,29651,43,1,1 dormitorio,1991,Señorial
219,Mijas - Las Lagunas De Mijas,Málaga,Mijas,120.000,120.000,29651,57,2,2 dormitorios,2005,Popular
220,Málaga - Carretera De Cádiz ; Girón - Las Delicias,Málaga,Málaga,99.900,99.900,29003,47,1,1 dormitorio,2008,Popular
221,Estepona,Málaga,Estepona,145.000,145.000,29680,125,4,4 dormitorios,1990,Señorial
222,Estepona,Málaga,Estepona,168.000,168.000,29680,147,3,3 dormitorios,2003,Popular
223,Málaga - Carretera De Cádiz ; Nuevo San Andrés - Dos Hermanas,Málaga,Málaga,79.900,79.900,29003,59,2,2 dormitorios,1961,Popular
224,Torre Del Mar,Málaga,Torre Del Mar,149.900,149.900,29740,85,3,3 dormitorios,1970,Popular
225,Estepona,Málaga,Estepona,105.000,105.000,29680,70,3,3 dormitorios,1981,De época
226,Torrox,Málaga,Torrox,125.000,125.000,29091,77,2,2 dormitorios,1995,Popular
227,Torre Del Mar,Málaga,Torre Del Mar,78.000,78.000,29740,35,1,Estudio,1970,Popular
228,Málaga - Ortega Y Gasset; Santa Cristina - San Rafael,Málaga,Málaga,29067,100.000,Dirección  Calle Arenisca; 16,Tipología  Piso,50,Dormitorios  1,1,1979
229,Málaga - Ciudad Jardín ; Ciudad Jardín,Málaga,Málaga,46.000,46.000,29011,84,3,3 dormitorios,1975,Popular
